id,brand,model,mileage,year,link,body_status,price
0,ب ام و,سری 5 سدان,19000,2016,https://bama.ir/car/detail-8werdkq1-bmw-5-series-sedan-528i-2016,1,3400000000
1,چری,آریزو 5TE  ,22600,2019,https://bama.ir/car/detail-bd9ifkm-chery-arrizo5te-at-excellent-1398,1,500000000
2,سمند,LX,80000,2017,https://bama.ir/car/detail-97ypj121-samand-lx-basic-1396,1,155000000
3,مزدا,3 جدید صندوق دار (مونتاژ),84000,2017,https://bama.ir/car/detail-jukh1p6w-mazda-3-sedan-2.0l-type4-1396,1,720000000
4,پورشه,ماکان,75000,2015,https://bama.ir/car/detail-a32xi639-porsche-macan-2015,1,3950000000
5,هیوندای,سانتافه (ix45),54000,2016,https://bama.ir/car/detail-c5x5znj2-hyundai-santafe-ix45-2400cc-2016,1,1430000000
6,ساینا,اتوماتیک,54000,2018,https://bama.ir/car/detail-9wzhc6wy-saina-at-1397,1,175000000
7,پژو,205,430000,1996,https://bama.ir/car/detail-kv5wzfdm-peugeot-205-1996,12,43000000
8,نیسان,ماکسیما ,36000,2012,https://bama.ir/car/detail-4hq75pg5-nissan-maxima-ir-at-1391,1,850000000
9,رنو,تندر90 ,67000,2017,https://bama.ir/car/detail-h4xbsn5m-renault-tondar90-plus-mt-1396,1,290000000
10,کیا,سراتو (مونتاژ),85000,2017,https://bama.ir/car/detail-gozypjhd-kia-cerato-ir-2000-optional-1396,1,540000000
11,پژو,پارس,0,2019,https://bama.ir/car/detail-btnjgbf-peugeot-pars-mt-1398,1,210000000
12,رنو,تندر90 ,320000,2007,https://bama.ir/car/detail-wndk1so4-renault-tondar90-e1-1386,4,108000000
13,تویوتا,لندکروز وانت تک کابین,380000,1983,https://bama.ir/car/detail-3u9tdt8-toyota-landcruiser-pickup-2door-2f-1983,12,180000000
14,ب ام و,X3,75000,2014,https://bama.ir/car/detail-9hafixyg-bmw-x3-28-2014,1,2200000000
15,هیوندای,وراکروز (ix55),99000,2013,https://bama.ir/car/detail-r3rsisoj-hyundai-veracruz-ix55-2013,6,1450000000
16,رنو,مگان (مونتاژ),156000,2011,https://bama.ir/car/detail-tkdkb4eb-renault-megan-ir-2000-1390,1,315000000
17,کیا,سراتو,24000,2016,https://bama.ir/car/detail-ynvpuwnk-kia-cerato-2000-2016,1,900000000
