id ,number,rond,stock,daemi,link,price
0,09120959336,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416687,3500000
1,09120992113,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416694,3500000
2,09120992114,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416695,3500000
3,09120959319,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416703,3600000
4,09120959325,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416704,3600000
5,09120476488,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416747,3300000
6,09120992098,1,1,1,https://www.mobile.ir/simcard/details.aspx?id=416748,3700000
7,09121964911,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=417205,37000000
8,09122967747,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=417206,21500000
9,09124970475,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=409856,8000000
10,09125363168,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=412067,6300000
11,09127235190,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=415844,5500000
12,09129519726,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416541,3500000
13,09129538345,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416542,3700000
14,09120818756,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416625,3400000
15,09120949142,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416677,3500000
16,09120644892,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416736,3400000
17,09120991237,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416738,4000000
18,09120991246,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416739,4000000
19,09120541711,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=416750,4150000
20,09121853943,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=423173,26300000
21,09122716467,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=423174,17000000
22,09122707324,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=423175,15300000
23,09129683936,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=423247,4700000
24,09120721913,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=423248,3650000
25,09120308389,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=423249,3600000
26,09120929487,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=423250,3200000
27,09120232974,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=423251,3000000
28,09128717629,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=423646,5500000
29,09128717627,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=423647,5500000
30,09128717638,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=423648,5500000
31,09128717639,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=423649,5500000
32,09122953091,0,0,1,https://www.mobile.ir/simcard/details.aspx?id=423650,14800000
33,09127237849,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=423651,5700000
34,09120501671,0,1,1,https://www.mobile.ir/simcard/details.aspx?id=416708,3600000
